Date,Open,High,Low,Close,Volume
2020-01-02,27.96,27.96,26.24,26.68,1086300
2020-01-03,26.26,26.53,25.52,25.54,1164400
2020-01-06,25.19,25.81,24.4,25.78,1453900
2020-01-07,25.85,26.38,24.89,26.0,1431100
2020-01-08,25.95,27.23,25.67,27.0,1071700
2020-01-09,27.0,27.95,26.92,27.92,1069300
2020-01-10,27.89,28.2,27.12,27.15,1632600
2020-01-13,26.12,26.5,23.15,23.93,3808400
2020-01-14,23.67,25.11,23.38,24.34,1779000
2020-01-15,24.31,24.67,23.52,23.68,1190700
2020-01-16,23.35,23.98,23.3,23.74,893400
2020-01-17,23.97,24.1,23.31,23.88,1218500
2020-01-21,23.92,24.01,23.31,23.67,1160700
2020-01-22,23.72,24.0,23.19,23.19,645100
2020-01-23,23.12,23.25,22.68,22.7,714800
2020-01-24,22.7,22.77,21.78,22.25,1215500
2020-01-27,21.69,22.07,21.38,21.64,1177000
2020-01-28,21.72,22.09,21.67,22.01,641600
2020-01-29,22.01,22.61,22.0,22.6,752900
2020-01-30,22.46,22.59,21.91,22.45,738200
2020-01-31,22.3,22.35,21.35,21.74,907900
2020-02-03,22.04,22.62,21.86,22.54,814200
2020-02-04,23.05,23.9,22.68,23.49,1120500
2020-02-05,23.68,23.92,23.38,23.62,894200
2020-02-06,23.74,24.16,23.58,23.64,629400
2020-02-07,23.46,23.7,22.63,22.96,826600
2020-02-10,22.9,23.55,22.68,23.26,963900
2020-02-11,23.38,23.82,23.17,23.34,590800
2020-02-12,23.48,23.66,23.02,23.62,468700
2020-02-13,23.41,23.9,23.2,23.71,456800
2020-02-14,23.66,23.89,23.3,23.83,554200
2020-02-18,23.82,24.25,23.59,24.1,920800
2020-02-19,24.2,25.37,24.06,24.89,1245000
2020-02-20,24.87,25.05,23.82,24.88,901500
2020-02-21,24.76,26.07,24.65,25.98,1608600
2020-02-24,24.95,25.21,24.1,24.69,1630000
2020-02-25,24.81,34.46,24.53,31.46,11467600
2020-02-26,31.03,33.88,29.54,33.65,4645700
2020-02-27,33.0,34.25,31.92,33.03,3638300
2020-02-28,31.0,33.83,30.3,32.91,2735400
2020-03-02,33.07,36.25,32.91,35.99,3224100
2020-03-03,35.85,36.15,34.43,35.79,2050800
2020-03-04,36.5,37.99,35.5,36.39,2619300
2020-03-05,36.0,37.27,35.5,36.38,1680400
2020-03-06,35.78,38.92,35.55,38.85,2586100
2020-03-09,36.02,36.21,31.31,32.04,3239600
2020-03-10,33.15,33.74,29.0,31.93,2386900
2020-03-11,31.1,32.2,29.0,29.58,1763500
2020-03-12,27.37,27.6,24.09,24.11,2540200
2020-03-13,25.74,26.99,22.1,25.14,2755800
2020-03-16,22.17,23.63,19.52,19.54,2188800
2020-03-17,20.08,21.18,18.7,19.98,2565300
2020-03-18,18.82,22.41,18.7,22.16,2813000
2020-03-19,22.07,25.43,21.0,24.99,1943400
2020-03-20,26.36,26.36,22.47,22.77,3277000
2020-03-23,23.65,24.37,20.86,23.81,1463200
2020-03-24,24.58,33.73,24.11,32.14,5601500
2020-03-25,33.02,33.86,30.14,30.36,3313500
2020-03-26,30.57,32.27,29.74,31.96,1489700
2020-03-27,30.8,33.99,30.43,32.16,1956200
2020-03-30,30.0,30.0,27.44,29.94,2804000
2020-03-31,29.6,31.0,28.71,29.94,1288800
2020-04-01,28.71,31.09,27.77,27.94,1890500
2020-04-02,27.59,29.09,27.09,28.88,1656300
2020-04-03,28.68,29.25,27.5,29.06,949800
2020-04-06,29.59,30.36,27.83,29.19,1387800
2020-04-07,29.22,31.75,29.21,29.74,1399500
2020-04-08,29.86,31.69,29.35,30.88,1093200
2020-04-09,31.17,32.11,30.52,31.88,1884800
2020-04-13,31.45,31.45,29.28,30.23,1083200
2020-04-14,33.3,36.14,33.0,35.51,3056200
2020-04-15,34.94,36.11,34.17,35.04,1918300
2020-04-16,35.72,35.81,33.83,35.2,1139200
2020-04-17,35.98,36.15,35.06,35.8,1819700
2020-04-20,35.13,37.1,35.08,36.66,2055200
2020-04-21,35.76,37.88,35.3,36.63,1706700
2020-04-22,37.98,38.43,37.6,37.79,1520300
2020-04-23,37.94,39.0,35.55,35.7,1743400
2020-04-24,36.18,37.94,35.73,36.91,1612100
2020-04-27,38.04,38.96,36.02,36.64,2358800
2020-04-28,37.1,37.5,33.68,33.84,1814300
2020-04-29,35.05,35.2,31.87,33.35,2345300
2020-04-30,33.3,33.3,32.08,32.15,1594300
2020-05-01,31.68,32.19,30.47,32.0,2035100
2020-05-04,31.57,32.31,31.0,32.25,1316600
2020-05-05,32.5,33.37,31.53,32.66,1681800
2020-05-06,31.78,33.94,30.03,32.63,2499700
2020-05-07,33.14,33.8,31.51,33.78,1397700
2020-05-08,34.01,36.62,34.01,36.11,1798900
2020-05-11,36.01,38.04,35.56,37.18,1596400
2020-05-12,37.67,38.73,35.82,35.89,1864600
2020-05-13,36.06,36.34,32.47,34.04,1519600
2020-05-14,33.56,36.6,33.07,35.37,1437800
2020-05-15,35.25,36.69,35.03,36.28,1292700
2020-05-18,37.36,37.45,35.57,36.56,1141300
2020-05-19,36.36,37.12,35.74,35.8,915700
2020-05-20,36.77,38.17,36.28,37.25,1273900
2020-05-21,37.42,38.33,36.83,38.15,1214600
2020-05-22,38.23,41.08,37.38,41.0,1453400
2020-05-26,41.45,41.49,37.1,37.41,1986600
2020-05-27,37.1,38.32,34.68,38.09,1872200
2020-05-28,33.2,34.26,32.05,32.66,5729600
2020-05-29,32.83,33.13,30.6,32.09,10271500
2020-06-01,32.31,33.53,32.0,33.12,3978100
2020-06-02,33.26,33.85,31.59,33.32,4240500
2020-06-03,33.55,33.69,31.53,32.17,2082900
2020-06-04,31.95,32.33,30.51,30.86,1859900
2020-06-05,31.01,31.59,29.55,31.41,2076400
2020-06-08,31.21,33.0,30.64,32.17,1621300
2020-06-09,32.24,33.37,31.14,32.17,1625000
2020-06-10,32.62,32.78,30.4,31.4,1632100
2020-06-11,30.86,31.58,29.35,29.62,2118500
2020-06-12,30.13,30.34,28.75,29.51,1472400
2020-06-15,28.75,30.36,28.23,29.95,1538100
2020-06-16,30.6,30.79,29.05,30.18,1157500
2020-06-17,30.39,30.69,29.5,29.66,1690400
2020-06-18,29.52,30.46,28.95,29.95,1159300
2020-06-19,29.31,30.42,28.68,29.98,3735400
2020-06-22,30.13,30.13,28.7,30.04,2215600
2020-06-23,30.13,31.98,30.1,30.97,1856900
2020-06-24,30.62,30.88,28.52,28.69,2206700
2020-06-25,28.52,28.55,27.14,27.61,3052200
2020-06-26,27.44,28.3,27.04,27.47,14977500
2020-06-29,27.61,28.08,27.01,27.21,2185000
2020-06-30,27.39,27.77,26.34,27.45,2379900
2020-07-01,27.71,29.35,27.52,29.03,1381400
2020-07-02,29.23,29.8,28.11,29.09,1527700
2020-07-06,29.26,29.68,28.72,29.12,847400
2020-07-07,29.16,30.45,28.88,29.94,1528400
2020-07-08,30.19,30.54,29.7,30.18,1149100
2020-07-09,30.31,30.55,29.55,30.34,1111900
2020-07-10,30.5,30.63,29.2,29.51,784600
2020-07-13,29.53,30.68,28.12,28.29,1291900
2020-07-14,28.22,29.54,28.0,29.34,1218400
2020-07-15,29.79,30.55,29.4,30.14,867900
2020-07-16,30.24,30.28,28.94,29.46,580600
2020-07-17,29.43,30.87,29.4,30.61,726900
2020-07-20,30.88,32.03,30.65,31.66,946700
2020-07-21,32.16,32.38,30.01,30.06,918000
2020-07-22,29.9,30.3,29.02,29.12,733900
2020-07-23,29.13,29.26,27.5,27.75,1250600
2020-07-24,27.31,27.94,26.75,27.84,943600
2020-07-27,27.84,29.32,27.75,29.18,1100300
2020-07-28,29.1,29.33,28.43,28.8,1014300
2020-07-29,28.86,29.65,28.54,28.65,825900
2020-07-30,28.19,29.07,28.12,28.85,711700
2020-07-31,28.98,29.21,28.43,29.07,1149000
2020-08-03,29.34,31.18,28.86,31.06,1441600
2020-08-04,31.16,31.61,30.46,30.77,805300
2020-08-05,30.99,31.14,30.16,30.86,706000
2020-08-06,30.9,31.59,30.57,31.15,880500
2020-08-07,31.32,31.63,28.67,29.22,1657300
2020-08-10,29.49,29.73,28.44,28.53,780800
2020-08-11,28.73,29.21,27.5,28.14,668900
2020-08-12,28.01,28.45,27.7,28.26,1085100
2020-08-13,28.36,28.78,27.86,28.66,554800
2020-08-14,28.59,28.8,27.5,27.79,809400
2020-08-17,27.75,29.34,27.75,29.15,778100
2020-08-18,29.4,29.61,28.58,28.76,655900
2020-08-19,28.66,29.54,28.44,29.19,594500
2020-08-20,29.11,29.47,28.77,28.96,444300
2020-08-21,28.88,29.49,28.67,29.22,525000
2020-08-24,29.3,29.91,28.84,28.89,807300
2020-08-25,28.53,28.89,27.62,28.54,786800
2020-08-26,28.58,28.8,27.97,27.98,890500
2020-08-27,28.2,29.63,27.9,29.22,1435800
2020-08-28,29.39,32.0,29.39,31.68,1890100
2020-08-31,31.79,33.62,31.53,33.33,1730800
2020-09-01,33.39,34.31,33.25,33.94,1239300
2020-09-02,34.45,34.47,32.41,33.0,1708800
2020-09-03,32.77,32.77,30.8,31.33,925800
2020-09-04,31.01,31.25,28.23,30.65,1525800
2020-09-08,29.88,32.08,29.5,31.46,1265800
2020-09-09,31.82,32.62,31.17,32.34,768200
2020-09-10,32.63,33.21,31.67,31.69,763200
2020-09-11,31.95,32.48,31.55,31.7,683700
2020-09-14,33.0,35.87,33.0,35.25,2402200
2020-09-15,35.68,36.08,34.65,35.72,1006400
2020-09-16,36.05,36.93,35.56,36.3,1185100
2020-09-17,35.44,36.4,34.81,35.65,981100
2020-09-18,35.69,36.35,35.11,36.15,2026000
2020-09-21,34.95,35.86,33.63,33.99,1039500
2020-09-22,34.26,34.26,32.3,33.51,761500
2020-09-23,33.62,34.23,33.07,33.34,727100
2020-09-24,32.93,32.99,31.36,31.72,906500
2020-09-25,31.52,31.88,30.84,31.81,1335900
2020-09-28,32.32,32.99,31.41,31.92,1309700
2020-09-29,31.88,32.64,31.56,32.3,673200
2020-09-30,32.34,33.38,32.26,32.92,1008500
2020-10-01,32.98,33.69,32.84,33.64,847900
2020-10-02,33.28,33.97,31.44,31.5,746000
2020-10-05,31.85,32.54,31.6,32.06,1270100
2020-10-06,25.0,29.44,24.67,28.1,13626800
2020-10-07,29.06,29.22,27.41,28.04,2789500
2020-10-08,28.41,29.78,28.01,29.42,1440200
2020-10-09,29.85,31.44,29.61,31.19,2302400
2020-10-12,31.2,31.57,30.46,31.06,1476300
2020-10-13,30.85,32.55,30.59,32.44,1727300
2020-10-14,32.92,35.2,32.89,34.6,2486300
2020-10-15,34.49,36.22,34.26,36.05,1730600
2020-10-16,36.83,38.19,36.51,37.64,2876000
2020-10-19,37.41,37.58,35.9,36.36,1639200
2020-10-20,36.56,38.11,36.38,37.86,1624600
2020-10-21,38.0,38.04,36.4,36.98,1292700
2020-10-22,36.55,37.52,36.47,36.75,1743400
2020-10-23,37.16,37.79,36.6,37.65,838700
2020-10-26,37.64,38.75,36.6,36.97,724600
2020-10-27,37.11,37.85,36.25,36.53,993700
2020-10-28,34.03,36.26,34.01,35.53,952500
2020-10-29,35.81,36.49,35.13,35.88,768400
2020-10-30,36.01,36.06,34.36,35.68,906300
2020-11-02,35.63,36.68,35.17,36.44,1287700
2020-11-03,36.45,37.53,35.7,37.1,729200
2020-11-04,37.02,39.83,35.9,39.58,1443200
2020-11-05,40.0,40.84,39.12,40.42,1078300
2020-11-06,40.83,41.6,39.63,40.44,955500
2020-11-09,38.23,40.68,37.75,39.16,1385400
2020-11-10,39.58,39.93,37.06,38.13,1332400
2020-11-11,38.65,39.28,37.75,38.02,854900
2020-11-12,38.23,38.4,36.35,36.81,801100
2020-11-13,37.26,37.85,37.09,37.72,732600
2020-11-16,38.42,38.68,36.34,36.56,728700
2020-11-17,36.14,36.72,35.71,36.17,629400
2020-11-18,36.17,37.59,36.01,36.5,912200
2020-11-19,36.28,36.85,36.14,36.59,933500
2020-11-20,36.35,36.85,36.12,36.45,989300
2020-11-23,36.38,37.61,36.01,37.35,1089000
2020-11-24,37.22,37.85,36.72,37.16,600200
2020-11-25,37.34,38.2,37.05,37.94,687800
2020-11-27,38.05,39.73,37.69,39.38,691400
2020-11-30,39.77,40.19,38.33,38.81,1254100
2020-12-01,39.05,41.9,38.47,41.32,1517100
2020-12-02,41.33,42.25,40.28,41.32,978900
