Date,Open,High,Low,Close,Volume
2020-01-02,3.56,3.75,3.56,3.72,69700
2020-01-03,3.75,3.96,3.62,3.91,141200
2020-01-06,3.89,3.93,3.82,3.88,116600
2020-01-07,3.87,3.98,3.82,3.98,64500
2020-01-08,3.97,4.0,3.94,3.97,39000
2020-01-09,3.95,3.97,3.79,3.81,71600
2020-01-10,3.83,3.93,3.79,3.92,104200
2020-01-13,3.92,3.94,3.67,3.7,109600
2020-01-14,3.71,3.76,3.65,3.69,56300
2020-01-15,3.7,3.72,3.66,3.66,19900
2020-01-16,3.69,3.78,3.64,3.75,54800
2020-01-17,3.76,3.83,3.69,3.79,24800
2020-01-21,3.76,3.87,3.75,3.77,26200
2020-01-22,3.76,3.87,3.72,3.87,49700
2020-01-23,3.9,4.37,3.86,4.27,219100
2020-01-24,4.34,4.42,4.14,4.2,206700
2020-01-27,4.15,4.21,4.07,4.13,87400
2020-01-28,4.15,4.22,4.04,4.16,79600
2020-01-29,4.16,4.3,4.11,4.19,138600
2020-01-30,4.15,4.18,4.02,4.02,89900
2020-01-31,4.04,4.13,3.82,3.82,115200
2020-02-03,3.9,3.98,3.79,3.83,110500
2020-02-04,3.82,3.88,3.74,3.79,110900
2020-02-05,3.8,3.88,3.78,3.78,144700
2020-02-06,3.77,3.85,3.75,3.78,47600
2020-02-07,3.8,3.88,3.76,3.85,124700
2020-02-10,3.88,3.98,3.83,3.85,77800
2020-02-11,3.86,4.14,3.86,3.95,122700
2020-02-12,3.98,4.0,3.82,3.86,101200
2020-02-13,3.6,3.65,3.22,3.55,348500
2020-02-14,3.56,3.6,3.3,3.36,145800
2020-02-18,3.44,3.5,3.31,3.35,108600
2020-02-19,3.35,3.55,3.35,3.5,187700
2020-02-20,3.52,3.66,3.44,3.63,159900
2020-02-21,3.56,3.68,3.52,3.65,221400
2020-02-24,3.59,3.64,3.3,3.33,184000
2020-02-25,3.37,3.4,3.32,3.35,77500
2020-02-26,3.42,3.42,3.31,3.36,55000
2020-02-27,3.32,3.33,3.2,3.31,68100
2020-02-28,3.16,3.26,3.15,3.23,105000
2020-03-02,3.25,3.32,3.19,3.19,85400
2020-03-03,3.17,3.21,3.11,3.12,73400
2020-03-04,3.14,3.17,3.0,3.06,106400
2020-03-05,3.01,3.13,2.99,3.05,54900
2020-03-06,3.0,3.01,2.87,2.91,96200
2020-03-09,2.85,2.9,2.62,2.67,65700
2020-03-10,2.69,2.82,2.55,2.62,120100
2020-03-11,2.55,2.6,2.23,2.3,221500
2020-03-12,2.0,2.2,1.91,1.92,279500
2020-03-13,2.0,2.17,1.96,2.03,122900
2020-03-16,1.98,1.99,1.77,1.77,85900
2020-03-17,1.8,2.04,1.8,2.0,76100
2020-03-18,1.87,2.14,1.71,1.75,78500
2020-03-19,1.81,1.81,1.72,1.74,81700
2020-03-20,1.79,1.8,1.58,1.61,59800
2020-03-23,1.61,1.75,1.59,1.63,69000
2020-03-24,1.7,1.75,1.63,1.64,92100
2020-03-25,1.66,1.77,1.64,1.72,232800
2020-03-26,1.74,1.75,1.68,1.72,281400
2020-03-27,1.71,1.92,1.67,1.85,81100
2020-03-30,1.86,2.0,1.86,1.94,129300
2020-03-31,1.95,2.1,1.95,1.96,118700
2020-04-01,1.96,1.96,1.8,1.87,88900
2020-04-02,1.87,2.19,1.78,1.84,45800
2020-04-03,1.85,1.93,1.79,1.9,51700
2020-04-06,1.93,2.11,1.93,2.06,82400
2020-04-07,2.2,2.32,2.12,2.32,85300
2020-04-08,2.34,3.08,2.31,3.04,426900
2020-04-09,3.01,3.15,2.75,2.88,164000
2020-04-13,2.89,2.95,2.75,2.8,117400
2020-04-14,2.84,2.89,2.6,2.68,102400
2020-04-15,2.6,2.64,2.36,2.53,106300
2020-04-16,2.54,2.58,2.39,2.47,72100
2020-04-17,2.54,2.65,2.43,2.48,61600
2020-04-20,2.46,2.48,2.32,2.41,37500
2020-04-21,2.38,2.45,2.36,2.38,25900
2020-04-22,2.43,2.54,2.43,2.48,42900
2020-04-23,2.49,2.59,2.47,2.47,20400
2020-04-24,2.49,2.53,2.45,2.48,47800
2020-04-27,2.44,2.75,2.44,2.71,97800
2020-04-28,2.72,2.88,2.72,2.84,114800
2020-04-29,2.85,3.05,2.81,3.0,238000
2020-04-30,3.1,3.29,3.07,3.16,347700
2020-05-01,3.16,3.16,2.83,3.16,230300
2020-05-04,3.25,3.25,3.04,3.09,106600
2020-05-05,3.2,3.2,2.96,2.98,142700
2020-05-06,3.04,3.05,2.82,2.85,169300
2020-05-07,2.91,2.96,2.78,2.86,107300
2020-05-08,2.87,3.09,2.87,2.99,143300
2020-05-11,3.04,3.06,2.9,2.9,128800
2020-05-12,2.94,2.96,2.8,2.82,157600
2020-05-13,2.81,2.81,2.64,2.76,198700
2020-05-14,2.8,3.0,2.75,2.99,133800
2020-05-15,3.08,3.47,3.04,3.29,803600
2020-05-18,3.3,3.46,3.21,3.39,369100
2020-05-19,3.32,3.39,3.22,3.35,140000
2020-05-20,3.36,3.43,3.26,3.38,126300
2020-05-21,3.4,3.57,3.23,3.54,446400
2020-05-22,3.56,3.66,3.46,3.57,170100
2020-05-26,3.6,3.93,3.55,3.82,280600
2020-05-27,3.85,3.86,3.6,3.77,195800
2020-05-28,3.76,3.82,3.62,3.64,146000
2020-05-29,3.63,3.69,3.59,3.61,77200
2020-06-01,3.63,3.94,3.59,3.64,228500
2020-06-02,3.68,3.78,3.6,3.7,93100
2020-06-03,3.71,3.95,3.71,3.82,256900
2020-06-04,3.84,3.85,3.52,3.68,125900
2020-06-05,3.68,3.75,3.57,3.74,183400
2020-06-08,3.75,3.88,3.72,3.8,201300
2020-06-09,3.76,3.81,3.69,3.8,58900
2020-06-10,3.82,3.85,3.41,3.73,196800
2020-06-11,3.61,3.72,3.45,3.48,122500
2020-06-12,3.55,3.65,3.33,3.48,117300
2020-06-15,3.39,3.55,3.36,3.49,92900
2020-06-16,3.61,3.61,3.47,3.49,84700
2020-06-17,3.45,3.6,3.45,3.5,90400
2020-06-18,3.5,3.67,3.44,3.59,91500
2020-06-19,3.64,3.67,3.47,3.52,96700
2020-06-22,3.52,3.62,3.45,3.45,89100
2020-06-23,3.48,3.56,3.29,3.36,140400
2020-06-24,3.34,3.47,3.16,3.32,342500
2020-06-25,3.34,3.52,3.34,3.49,119400
2020-06-26,3.5,3.5,3.37,3.49,99700
2020-06-29,3.5,3.68,3.49,3.64,143200
2020-06-30,3.64,3.75,3.62,3.71,77100
2020-07-01,3.72,3.77,3.64,3.74,66100
2020-07-02,3.78,3.79,3.69,3.72,98900
2020-07-06,3.77,3.79,3.7,3.72,99100
2020-07-07,3.7,3.72,3.55,3.58,59700
2020-07-08,3.61,3.66,3.56,3.63,52800
