Date,Open,High,Low,Close,Volume
2020-01-02,3.75,3.84,3.45,3.485,187200
2020-01-03,3.51,3.51,3.322,3.41,154300
2020-01-06,3.45,3.77,3.23,3.76,187500
2020-01-07,3.73,4.235,3.65,4.16,392600
2020-01-08,4.13,4.45,3.82,4.25,323600
2020-01-09,4.2,4.22,3.85,3.98,249100
2020-01-10,3.98,4.091,3.75,3.83,193500
2020-01-13,3.84,4.05,3.83,4.02,237200
2020-01-14,4.06,4.08,3.86,3.95,102400
2020-01-15,3.98,3.988,3.8,3.87,66300
2020-01-16,3.81,3.93,3.77,3.92,82500
2020-01-17,3.92,4.02,3.81,3.96,133800
2020-01-21,3.94,4.07,3.85,4.0,216600
2020-01-22,4.0,4.36,3.98,4.25,468800
2020-01-23,4.25,4.27,4.198,4.25,130700
2020-01-24,4.23,4.27,4.02,4.22,207600
2020-01-27,4.0,4.555,4.0,4.47,288600
2020-01-28,4.58,4.76,4.276,4.73,308100
2020-01-29,4.8,4.82,4.521,4.63,201800
2020-01-30,4.65,4.8,4.646,4.75,155000
2020-01-31,4.75,4.83,4.54,4.62,130500
2020-02-03,4.71,4.8,4.64,4.66,149300
2020-02-04,4.79,4.79,4.64,4.7,117700
2020-02-05,4.75,4.75,4.48,4.51,161500
2020-02-06,4.6,4.6,4.3,4.46,146000
2020-02-07,4.47,4.57,4.36,4.43,92700
2020-02-10,4.43,4.443,4.1,4.24,148100
2020-02-11,4.14,4.15,3.77,4.07,306600
2020-02-12,4.01,4.25,3.78,3.95,175300
2020-02-13,3.95,4.24,3.95,4.23,94200
2020-02-14,4.2,4.5,4.2,4.47,103200
2020-02-18,4.52,4.55,4.3,4.4,107700
2020-02-19,4.4,4.4,4.2,4.35,99500
2020-02-20,4.32,4.496,4.31,4.43,90100
2020-02-21,4.48,4.78,4.44,4.74,162200
2020-02-24,4.76,4.76,4.26,4.32,249900
2020-02-25,4.35,4.37,3.85,4.05,157200
2020-02-26,4.02,4.4,3.77,3.97,147900
2020-02-27,3.92,4.18,3.81,4.08,119100
2020-02-28,3.97,4.0,3.36,3.88,341300
2020-03-02,3.9,4.21,3.81,4.11,87700
2020-03-03,4.16,4.2,3.88,4.01,105300
2020-03-04,4.06,4.31,4.015,4.3,78500
2020-03-05,4.17,4.246,4.02,4.14,51000
2020-03-06,4.08,4.172,3.89,3.93,85800
2020-03-09,3.68,3.86,3.6,3.6,123000
2020-03-10,3.68,3.93,3.68,3.7,80600
2020-03-11,3.7,3.75,3.25,3.33,131100
2020-03-12,3.1,3.29,2.9,3.12,94600
2020-03-13,3.4,3.61,3.13,3.42,71300
2020-03-16,3.07,3.141,2.62,2.86,142700
2020-03-17,2.9,3.233,2.73,2.98,77600
2020-03-18,2.84,2.951,2.56,2.68,54300
2020-03-19,2.53,2.92,2.5,2.76,71000
2020-03-20,2.86,2.97,2.51,2.51,67500
2020-03-23,2.5,2.678,2.35,2.53,101100
2020-03-24,2.67,2.89,2.61,2.77,60500
2020-03-25,2.91,3.08,2.7,2.99,87800
2020-03-26,3.1,3.386,2.9,3.2,92500
2020-03-27,3.17,3.24,3.02,3.17,31800
2020-03-30,3.08,3.56,3.0,3.56,118200
2020-03-31,3.47,4.005,3.31,3.7,208800
2020-04-01,3.41,3.74,3.4,3.41,109000
2020-04-02,3.38,3.62,3.263,3.49,102000
2020-04-03,3.42,3.5,3.25,3.3,88600
2020-04-06,3.36,3.42,3.15,3.26,121200
2020-04-07,3.33,3.426,3.26,3.29,46100
2020-04-08,3.4,3.45,3.16,3.4,64000
2020-04-09,3.4,3.5,3.225,3.39,73100
2020-04-13,3.33,3.465,3.23,3.4,78300
2020-04-14,3.5,3.6,3.27,3.42,96000
2020-04-15,3.4,3.55,3.28,3.29,39400
2020-04-16,3.3,3.48,3.16,3.2,66300
2020-04-17,3.37,3.48,3.26,3.42,83800
2020-04-20,3.43,3.54,3.251,3.35,66200
2020-04-21,3.26,3.45,3.215,3.24,47900
2020-04-22,3.33,3.39,3.257,3.3,32600
2020-04-23,3.29,3.37,3.28,3.34,14600
2020-04-24,3.26,3.34,3.21,3.3,27600
2020-04-27,3.23,3.39,3.23,3.39,41800
2020-04-28,3.4,3.5,3.294,3.48,80900
2020-04-29,3.54,3.92,3.411,3.8,161900
2020-04-30,3.98,4.12,3.75,3.89,196900
2020-05-01,3.84,3.85,3.6,3.61,49800
2020-05-04,3.61,3.76,3.5,3.7,64400
2020-05-05,3.75,3.97,3.6,3.88,151400
2020-05-06,3.85,3.95,3.8,3.95,34600
2020-05-07,3.99,4.12,3.964,4.01,168900
2020-05-08,3.95,4.15,3.86,4.15,133400
2020-05-11,4.04,4.2,4.0,4.0,111100
2020-05-12,4.0,4.09,3.98,4.0,54200
2020-05-13,4.04,4.04,3.16,3.44,290700
2020-05-14,3.4,3.58,3.276,3.56,70000
2020-05-15,3.47,3.52,3.36,3.38,37900
2020-05-18,3.39,3.53,3.3,3.42,87900
2020-05-19,3.39,3.49,3.3,3.34,52400
2020-05-20,3.39,3.44,3.32,3.38,25100
2020-05-21,3.35,3.4,3.32,3.36,27200
2020-05-22,3.36,3.49,3.36,3.46,29200
2020-05-26,3.54,3.59,3.42,3.58,48600
2020-05-27,3.57,3.57,3.41,3.54,66000
2020-05-28,3.5,3.62,3.5,3.51,24200
2020-05-29,3.45,3.59,3.45,3.5,27500
2020-06-01,3.46,3.67,3.45,3.61,60600
2020-06-02,3.65,3.78,3.54,3.78,121300
2020-06-03,3.78,3.87,3.7,3.87,43700
2020-06-04,3.83,3.83,3.6,3.82,31800
2020-06-05,3.9,3.9,3.68,3.79,34100
2020-06-08,3.76,3.82,3.642,3.74,80900
2020-06-09,3.66,3.78,3.53,3.62,56700
2020-06-10,3.62,3.72,3.56,3.66,35000
2020-06-11,3.67,3.7,3.3,3.39,71400
2020-06-12,3.46,3.5,3.31,3.38,56600
2020-06-15,3.3,3.49,3.285,3.43,26100
2020-06-16,3.49,3.5,3.39,3.44,25700
2020-06-17,3.38,3.79,3.34,3.61,107900
2020-06-18,3.63,3.7,3.6,3.6,25500
2020-06-19,3.57,3.85,3.542,3.69,125500
2020-06-22,3.89,3.9,3.672,3.75,101600
2020-06-23,3.99,4.0,3.78,3.81,54500
2020-06-24,3.82,3.98,3.72,3.97,68000
2020-06-25,3.9,4.0,3.83,3.95,70100
2020-06-26,3.89,4.0,3.77,4.0,109500
2020-06-29,3.98,3.99,3.85,3.92,76500
2020-06-30,3.87,4.07,3.841,4.0,202800
2020-07-01,4.02,4.57,3.92,4.33,348000
2020-07-02,4.46,4.56,4.05,4.08,187200
2020-07-06,4.03,4.28,3.73,3.81,208200
2020-07-07,3.79,3.86,3.6,3.7,279400
2020-07-08,3.8,3.9,3.65,3.68,185000
2020-07-09,3.69,3.741,3.42,3.48,113600
2020-07-10,3.48,3.599,3.42,3.45,155400
2020-07-13,3.46,3.64,3.43,3.45,52900
2020-07-14,3.48,3.78,3.46,3.5,24700
